App Name,Developer,Genre,In-app Purchases,Interactive Elements,Last Update,Minimum Age,Number of Installations,Number of Reviews,Offered By,Rating,Required Android Version,Size,Version
R Programming:Tutorials,zk2184298@gmail.com,ZibranEducation,Completely free,No Interactive Elements,"April 22, 2020","Rated for 3+
Learn More",100+,6 total,Zibran,4.7,4.4 and up,18M,4.0
Fantasy War Tactics R,"Visit website
support_sfw_global@valofe.com
Privacy Policy
서울시 금천구 디지털로 130 남성프라자 601호 (601, NAMSUNG Plaza, 130, Digital-ro, Geumcheon-gu, Seoul, Republic of Korea)",VALOFERole Playing,"₹65.00 - ₹6,300.00 per item","Users Interact, Digital Purchases","February 27, 2020","Rated for 7+
Mild Violence
Learn More","1,000,000+","184,019 total",VALOFE,4.4,4.0 and up,93M,0.577
MapleStory M - Open World MMORPG,"Visit website
help_MapleStoryM@nexon.com
Privacy Policy
(주)넥슨코리아 주소: 경기도 성남시 분당구 판교로 256번길 7 우편번호: 13487 NEXON Korea Address: 7, Pangyo-ro 256beon-gil, Bundang-gu, Seongnam-si, Gyeonggi-do, Korea Post: 13487",NEXON CompanyRole Playing,"₹85.00 - ₹6,900.00 per item",Users Interact,"June 24, 2020","Rated for 7+
Mild Violence
Learn More","1,000,000+","66,241 total",NEXON Company,3.6,4.4 and up,66M,1.5300.1987
"KineMaster - Video Editor, Video Maker","Visit website
support@kinemaster.com
Privacy Policy
5th Floor, Kunyoung Building 56 Baumoe-ro 37-gil, Yangjae-dong, Seocho-gu Seoul, 06744 Republic of Korea",KineMaster CorporationVideo Players & Editors,"₹56.11 - ₹2,321.66 per item",In-App Purchases,"May 27, 2020","Rated for 3+
Learn More","100,000,000+","2,786,301 total",KineMaster Corporation,4.4,5.0 and up,87M,4.13.7.15948.GP
Q Experience,"Visit website
q-support@nextfour.com
Privacy Policy
Mustionkatu 6, 20750 Turku Finland",Nextfour SolutionsLifestyle,Completely free,No Interactive Elements,"May 29, 2020","Rated for 3+
Learn More",50+,0,Nextfour Solutions,-1,5.0 and up,58M,1.6.0
Pokémon GO,"Visit website
pokemon-go-support@nianticlabs.com
Privacy Policy
One Ferry Building, Suite 200 San Francisco, CA 94111","Niantic, Inc.Adventure","₹29.00 - ₹7,900.00 per item","Users Interact, Shares Info, Shares Location, Digital Purchases","June 25, 2020","Rated for 3+
Learn More","100,000,000+","13,347,738 total","Niantic, Inc.",4.1,5.0 and up,Varies with device,0.177.1
mShikshaMitra - m-Governance Platform - Education,"Visit website
ega.mpsc@gmail.com
Privacy Policy",National Informatics Centre BhopalEducation,Completely free,No Interactive Elements,"June 24, 2020","Rated for 3+
Learn More","500,000+","21,729 total",National Informatics Centre Bhopal,4.0,4.1 and up,9.6M,12.5
e-Granthalaya,"Visit website
matoria.rkm@gmail.com
Privacy Policy
NIC",NIC eGov Mobile AppsLibraries & Demo,Completely free,No Interactive Elements,"March 4, 2020","Rated for 3+
Learn More","1,000+",17 total,NIC eGov Mobile Apps,3.5,5.0 and up,17M,1.1.0
mParivahan,"helpdesk-mparivahan@gov.in
Privacy Policy
NIC",NIC eGov Mobile AppsProductivity,Completely free,No Interactive Elements,"June 22, 2020","Rated for 3+
Learn More","10,000,000+","190,348 total",NIC eGov Mobile Apps,4.5,4.1 and up,19M,2.0.60
Snapseed,"Visit website
apps-help@google.com
Privacy Policy
1600 Amphitheatre Parkway, Mountain View 94043",Google LLCPhotography,Completely free,No Interactive Elements,"April 14, 2020","Rated for 3+
Learn More","100,000,000+","1,181,775 total",Google LLC,4.5,Varies with device,Varies with device,Varies with device
Super Mario Run,"Visit website
supermariorun-support@nintendo.co.jp
Privacy Policy
京都府京都市南区上鳥羽鉾立町11-1","Nintendo Co., Ltd.Action",₹799.00 per item,Digital Purchases,"December 19, 2019","Rated for 3+
Learn More","100,000,000+","1,480,069 total","Nintendo Co., Ltd.",3.6,4.4 and up,Varies with device,3.0.17
Z-nation Battle of the Zona universe demo,"Visit website
celebrityfestdesigns@gmail.com",Niya studiosRole Playing,Completely free,No Interactive Elements,"January 1, 2018","Rated for 12+
Mild Swearing
Learn More","5,000+",154 total,Niya studios,3.8,4.0 and up,95M,0.0.1
صور حرف N مزخرفة متحركة رومانسية 2019 دون انترنت,"Visit website
akramnabih17@gmail.com
Privacy Policy",Cadima DoveSocial,Completely free,No Interactive Elements,"November 4, 2018","Rated for 16+
Sex
Learn More","10,000+",98 total,Cadima Dove,4.5,4.0.3 and up,13M,6.3
Superhero,"Visit website
feedback@naxeex.com
Privacy Policy
Arbuzova 1/1, 630117 Novosibirsk, Russia",Naxeex LLCAction,"₹15.00 - ₹9,600.00 per item",No Interactive Elements,"May 28, 2020","Rated for 18+
Extreme Violence
Learn More","10,000,000+","76,006 total",Naxeex LLC,4.0,4.1 and up,89M,2.2.186
G-Tuner,"info@nobapp.com
Privacy Policy
3-630, Ishiura-cho, Takayama-shi, Gifu, JAPAN",nobappMusic & Audio,₹60.00 - ₹310.00 per item,Digital Purchases,"August 8, 2018","Rated for 3+
Learn More","5,000+",30 total,nobapp,4.1,4.0.3 and up,1.4M,1.1.1
N-Com EASYSET,"Visit website
info@n-com.it
Privacy Policy",Nolangroup s.p.a.Tools,Completely free,No Interactive Elements,"June 9, 2020","Rated for 3+
Learn More","10,000+",82 total,Nolangroup s.p.a.,2.8,4.3 and up,2.3M,v1.5
Q Pretest MCQs,"Visit website
daralqudspub@gmail.com
Privacy Policy",Dar Al QudsEducation,Completely free,No Interactive Elements,"February 13, 2020","Rated for 3+
Learn More","5,000+",195 total,Dar Al Quds,4.0,4.4 and up,18M,4.0.1
"n-Track Studio DAW Beat Maker, Record Audio, Drums","Visit website
android@ntrack.com
Privacy Policy
Via Nepal 16, 00144 Rome, Italy",n-Track SoftwareMusic & Audio,₹60.00 - ₹950.00 per item,"Users Interact, In-App Purchases","June 19, 2020","Rated for 3+
Learn More","5,000,000+","22,896 total",n-Track Software,4.1,Varies with device,Varies with device,Varies with device
News J Tamil,"Visit website
digital@newsj.tv
Privacy Policy",Mantaro Network Private LimitedNews & Magazines,Completely free,No Interactive Elements,"October 14, 2019","Rated for 3+
Learn More","50,000+","1,420 total",Mantaro Network Private Limited,4.5,4.0 and up,7.8M,1.8
Indian Rummy by Octro - Free Online Rummy,"Visit website
rummy.support@octro.com
Privacy Policy
2222 Jurgensen Ln, Sugarland, TX 77479, USA","Octro, Inc.Card","₹10.00 - ₹25,000.00 per item","Users Interact, In-Game Purchases","April 17, 2020","Rated for 3+
Learn More","10,000,000+","230,656 total","Octro, Inc.",4.2,Varies with device,Varies with device,Varies with device
Teen Patti by Octro - Indian Poker Card Game,"Visit website
teenpatti.support@octro.com
Privacy Policy
2222 Jurgensen Ln, Sugarland, TX 77479, USA","Octro, Inc.Casino","₹10.00 - ₹26,000.00 per item","Users Interact, Digital Purchases","April 20, 2020","Rated for 12+
Gambling
Learn More","50,000,000+","1,458,801 total","Octro, Inc.",4.3,Varies with device,Varies with device,Varies with device
Backgrounds HD (Wallpapers),"Visit website
support+and_backgrounds@ogqcorp.com
Privacy Policy
06740",OGQPersonalization,"₹90.00 - ₹1,900.00 per item","Users Interact, In-App Purchases","May 11, 2020","Rated for 3+
Learn More","100,000,000+","2,404,661 total",OGQ,4.5,Varies with device,Varies with device,Varies with device
FRAG Pro Shooter - 1st Anniversary,"Visit website
support@ohbibi.com
Privacy Policy
16 rue d'Athènes 75009 Paris FRANCE",Oh BiBiAction,"₹80.00 - ₹7,900.00 per item","Users Interact, Digital Purchases","June 19, 2020","Rated for 12+
Moderate Violence
Learn More","10,000,000+","500,118 total",Oh BiBi,4.3,4.3 and up,99M,1.6.4
SUP Multiplayer Racing,"Visit website
support@ohbibi.com
Privacy Policy
16 rue d'Athènes 75009 Paris FRANCE",Oh BiBiRacing,"₹45.00 - ₹11,900.00 per item","Shares Info, Shares Location, Digital Purchases","June 11, 2020","Rated for 3+
Learn More","10,000,000+","352,453 total",Oh BiBi,4.3,4.1 and up,Varies with device,2.2.7
Ola. Get rides on-demand,"Visit website
support@olacabs.com
Privacy Policy",olaMaps & Navigation,Completely free,No Interactive Elements,"June 24, 2020","Rated for 3+
Learn More","100,000,000+","1,426,132 total",ola,3.9,4.1 and up,26M,5.1.9
OLX: Buy & Sell Near You with Online Classifieds,"Visit website
androidapp@olx.com
Privacy Policy
Taurusavenue 105 2132LS, Hoofddorp The Netherlands",OLX Global B.V.Shopping,Completely free,"Users Interact, Digital Purchases","June 20, 2020","Rated for 12+
Parental Guidance Recommended
Learn More","100,000,000+","2,032,688 total",OLX Global B.V.,4.2,4.1 and up,14M,14.04.006
Z For Zombie: Freedom Hunters - FPS Shooter Game,"Visit website
one.up.shooter.games@gmail.com
Privacy Policy
Avda. Juan XXIII, 5, 1ºC 22003 Huesca Spain",Adsphalt MediaAction,₹85.00 per item,No Interactive Elements,"April 8, 2020","Rated for 16+
Strong Violence
Learn More","10,000+",62 total,Adsphalt Media,3.3,4.2 and up,73M,1.3
Berlin Subway – U-Bahn & S-Bahn map (BVG),"Visit website
support@desoline.com
Privacy Policy
Geulim 42820",DesolineTravel & Local,₹65.00 per item,No Interactive Elements,"October 12, 2019","Rated for 3+
Learn More","50,000+",546 total,Desoline,4.3,4.1 and up,14M,1.0.1.352
OnlineRTI - File RTI Online,"Visit website
support@onlinerti.com
Privacy Policy
GetupForChange Services Pvt Ltd, #L66, First Floor, 9th B Main, Sector 11, LIC Colony, HAL 3rd Stage, Jeevan Bheema Nagar, Bangalore - 560075",OnlineRTILifestyle,Completely free,No Interactive Elements,"October 22, 2019","Rated for 3+
Learn More","500,000+","3,611 total",OnlineRTI,3.8,4.0 and up,5.1M,3.7.2
"Opera News - Cricket, Latest & Local News, Videos","Visit website
feedback-opera-news-app@opera.com
Privacy Policy
Gjerdrums vei 19 NO-0484 OSLO",OperaNews & Magazines,Completely free,No Interactive Elements,"June 17, 2020","Rated for 3+
Learn More","50,000,000+","255,999 total",Opera,4.3,Varies with device,12M,7.4.2254.148299
Opera browser with free VPN,"Visit website
support-opera-android@opera.com
Privacy Policy
Gjerdrums vei 19 NO-0484 OSLO",OperaCommunication,Completely free,"Digital Purchases, Unrestricted Internet","June 25, 2020","Rated for 3+
Learn More","100,000,000+","3,277,439 total",Opera,4.6,Varies with device,Varies with device,Varies with device
Opera browser beta,"Visit website
support-opera-beta@opera.com
Privacy Policy
Gjerdrums vei 19 NO-0484 OSLO",OperaCommunication,Completely free,"Digital Purchases, Unrestricted Internet","June 26, 2020","Rated for 3+
Learn More","10,000,000+","235,179 total",Opera,4.5,Varies with device,Varies with device,Varies with device
Opera Mini - fast web browser,"Visit website
support-mini-android@opera.com
Privacy Policy
Gjerdrums vei 19 NO-0484 OSLO",OperaCommunication,Completely free,"Digital Purchases, Unrestricted Internet","May 30, 2020","Rated for 3+
Learn More","100,000,000+","6,975,659 total",Opera,4.4,Varies with device,Varies with device,Varies with device
Opera Mini browser beta,"Visit website
support@opera.com
Privacy Policy
Gjerdrums vei 19 NO-0484 OSLO",OperaCommunication,Completely free,"Digital Purchases, Unrestricted Internet","May 29, 2020","Rated for 3+
Learn More","50,000,000+","602,500 total",Opera,4.4,Varies with device,Varies with device,Varies with device
U-Learn,"info@ulearn.com.ng
Privacy Policy
7, Ayodele Drive, Ekpan, Delta State, Nigeria",The OperatorEducation,Completely free,Digital Purchases,"April 18, 2018","Rated for 3+
Learn More","10,000+",154 total,The Operator,4.6,4.1 and up,14M,1.1.5
Lyrical.ly - Lyrical Video Status Maker,"Visit website
info@lyrically.co.in
Privacy Policy",lyrical.lyVideo Players & Editors,Completely free,No Interactive Elements,"May 29, 2020","Rated for 3+
Learn More","10,000,000+","157,827 total",lyrical.ly,4.1,5.0 and up,71M,12.2.7
P Launcher 2020 new 👍,"Visit website
nnappteam@gmail.com
Privacy Policy
GuangDong, GuangZhou, Tianhe Software Park, YueHe Building",N Dev TeamTools,"₹170.00 - ₹1,800.00 per item",No Interactive Elements,"June 17, 2020","Rated for 3+
Learn More","500,000+","5,393 total",N Dev Team,4.3,4.1 and up,9.7M,6.4
Piano Kids - Music & Songs,"Visit website
orangegstudios@gmail.com
Privacy Policy
Mariano Acha 1042, Ciudad Autonoma de Buenos Aires",Orange Studios GamesMusicMusic & Video,₹270.00 per item,No Interactive Elements,"June 19, 2020","Rated for 3+
Learn More","50,000,000+","224,970 total",Orange Studios Games,4.5,4.1 and up,52M,2.63
J-Track,"Visit website
info@jtechindia.com
Privacy Policy","J Technologies India Ltd.,Communication",Completely free,No Interactive Elements,"December 28, 2019","Rated for 3+
Learn More","5,000+",51 total,"J Technologies India Ltd.,",4.0,4.4 and up,11M,0.0.26
Stick Z: Super Dragon Fight,"Visit website
stickwarriorbattle@gmail.com
Privacy Policy
470 NORTH BRIDGE ROAD, SINGAPORE",OneSoft Global PTE. LTD.Action,"₹35.00 - ₹8,300.00 per item",In-Game Purchases,"June 5, 2020","Rated for 3+
Learn More","10,000,000+","57,215 total",OneSoft Global PTE. LTD.,4.2,4.1 and up,42M,2.5
T-SAT,"tsmanatvonline@gmail.com
Privacy Policy",T-SATEducation,Completely free,No Interactive Elements,"April 28, 2020","Rated for 3+
Learn More","100,000+","3,062 total",T-SAT,4.1,4.0 and up,8.2M,2.0
Z Tunnel War,"liquidly0575@gmail.com
Privacy Policy",EasyTimeAction,"₹160.00 - ₹8,200.00 per item",In-Game Purchases,"June 26, 2019","Rated for 16+
Strong Violence
Learn More","50,000+",509 total,EasyTime,3.5,2.3 and up,72M,1.1.1
Talking Ginger 2,"Visit website
support@outfit7.com
Privacy Policy
Outfit7 Limited Agiou Georgiou 4607 Pissouri Cyprus",Outfit7 LimitedEntertainment,"₹85.00 - ₹1,450.00 per item",In-Game Purchases,"September 28, 2019","Rated for 3+
Learn More","100,000,000+","752,044 total",Outfit7 Limited,4.1,4.4 and up,47M,2.8.2.29
My Talking Angela,"Visit website
support@outfit7.com
Privacy Policy
Outfit7 Limited Agiou Georgiou 4607 Pissouri Cyprus",Outfit7 LimitedCasual,"₹85.00 - ₹8,600.00 per item","Users Interact, Digital Purchases","June 24, 2020","Rated for 3+
Learn More","500,000,000+","12,007,966 total",Outfit7 Limited,4.2,4.4 and up,93M,4.6.1.723
My Talking Hank,"Visit website
support@outfit7.com
Privacy Policy
Outfit7 Limited Agiou Georgiou 4607 Pissouri Cyprus",Outfit7 LimitedCasual,"₹85.00 - ₹8,600.00 per item",Digital Purchases,"March 12, 2020","Rated for 3+
Learn More","100,000,000+","1,018,089 total",Outfit7 Limited,4.3,4.4 and up,100M,1.9.1.26
My Talking Tom 2,"Visit website
support@outfit7.com
Privacy Policy
Outfit7 Limited Agiou Georgiou 4607 Pissouri Cyprus",Outfit7 LimitedCasual,"₹85.00 - ₹8,600.00 per item",Digital Purchases,"June 11, 2020","Rated for 3+
Learn More","100,000,000+","2,624,422 total",Outfit7 Limited,4.3,4.4 and up,110M,2.1.1.1011
My Talking Tom,"Visit website
support@outfit7.com
Privacy Policy
Outfit7 Limited Agiou Georgiou 4607 Pissouri Cyprus",Outfit7 LimitedCasual,"₹45.00 - ₹8,600.00 per item","Users Interact, Digital Purchases","June 17, 2020","Rated for 3+
Learn More","500,000,000+","16,250,955 total",Outfit7 Limited,4.4,4.4 and up,92M,5.9.0.716
My Talking Tom Friends,"Visit website
support@outfit7.com
Privacy Policy
Outfit7 Limited Agiou Georgiou 4607 Pissouri Cyprus",Outfit7 LimitedCasual,"₹170.00 - ₹8,600.00 per item",In-Game Purchases,"June 3, 2020","Rated for 3+
Learn More","10,000,000+","280,106 total",Outfit7 Limited,4.5,4.4 and up,85M,1.0.11.1971
Talking Ben the Dog,"Visit website
support@outfit7.com
Privacy Policy
Outfit7 Limited Agiou Georgiou 4607 Pissouri Cyprus",Outfit7 LimitedEntertainment,₹85.00 - ₹850.00 per item,In-App Purchases,"March 23, 2020","Rated for 3+
Learn More","100,000,000+","1,719,432 total",Outfit7 Limited,4.4,4.4 and up,53M,3.7.1.16
Talking Ginger,"Visit website
support@outfit7.com
Privacy Policy
Outfit7 Limited Agiou Georgiou 4607 Pissouri Cyprus",Outfit7 LimitedEntertainment,"₹85.00 - ₹1,700.00 per item","Users Interact, Digital Purchases","June 24, 2020","Rated for 3+
Learn More","100,000,000+","1,841,155 total",Outfit7 Limited,4.0,4.4 and up,Varies with device,2.7.4.19
Talking Tom Cat,"Visit website
support@outfit7.com
Privacy Policy
Outfit7 Limited Agiou Georgiou 4607 Pissouri Cyprus",Outfit7 LimitedCasual,₹60.00 - ₹850.00 per item,"Users Interact, In-App Purchases","June 15, 2020","Rated for 3+
Learn More","100,000,000+","2,084,769 total",Outfit7 Limited,4.0,4.4 and up,55M,3.7.1.26
Talking Tom Cat 2,"Visit website
support@outfit7.com
Privacy Policy
Outfit7 Limited Agiou Georgiou 4607 Pissouri Cyprus",Outfit7 LimitedEntertainment,"₹85.00 - ₹2,150.00 per item",In-App Purchases,"April 15, 2019","Rated for 3+
Learn More","100,000,000+","3,301,072 total",Outfit7 Limited,4.4,4.1 and up,55M,5.3.10.26
C Placement Questions : Interviews Questions,andriodofficial03@gmail.com,arcANDROIDEducation,Completely free,No Interactive Elements,"May 13, 2019","Rated for 3+
Learn More","1,000+",28 total,arcANDROID,4.6,4.0.3 and up,3.2M,1.0.1
CIRCLE K,"Visit website
allpointsapp@gmail.com
Privacy Policy",Outsite Networks Inc.Lifestyle,Completely free,No Interactive Elements,"June 12, 2020","Rated for 3+
Learn More","1,000,000+","26,730 total",Outsite Networks Inc.,4.5,5.0 and up,5.9M,6.10.2
R Store Rewards,"Visit website
allpointsapp@gmail.com
Privacy Policy",Outsite Networks Inc.Lifestyle,Completely free,No Interactive Elements,"June 12, 2020","Rated for 3+
Learn More","1,000+",65 total,Outsite Networks Inc.,4.7,5.0 and up,5.7M,6.10.2
OYO : Book Safe Rooms With Best Hotel Booking App,"Visit website
appfeedbacksupport@oyorooms.com
Privacy Policy
OYO Rooms, 9th Floor, Spaze Palazo, Sector 69 Gurgaon India",OYOTravel & Local,Completely free,No Interactive Elements,"June 23, 2020","Rated for 3+
Learn More","10,000,000+","528,174 total",OYO,4.0,4.1 and up,18M,5.2.61
Tantan - Date For Real,"Visit website
intl-support@tantanapp.com
Privacy Policy
UNIT 402, FAIRMONT HSE, NO.8 COTTON TREE DRIVE, ADMIRALTY, HK",Tantan Hong Kong LimitedSocial,"₹70.00 - ₹13,800.00 per item","Users Interact, Shares Location","June 23, 2020","Rated for 18+
Learn More","10,000,000+","841,683 total",Tantan Hong Kong Limited,4.1,5.0 and up,90M,4.0.9.1
B Letters Wallpaper HD,"Visit website
ahmedaksaar@gmail.com
Privacy Policy",panalabPersonalization,Completely free,No Interactive Elements,"January 5, 2020","Rated for 3+
Learn More","1,000+",0,panalab,-1,4.1 and up,8.7M,1.0
